"Reference","Qty","Value","Exclude from BOM","Footprint","Manufacturer Part Number (MPN)","Supplier & Ref"
"BT1","1","Battery","","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","JST S2B-PH-K-S(LF)(SN)","Digi-Key 455-S2B-PH-K"
"D1","1","LED","","LED_SMD:LED_0805_2012Metric","Kingbright APT2012YC","Digi-Key 754-1121-1-ND"
"R1,R2","2","220k","","Resistor_SMD:R_0805_2012Metric","Yageo RC0805FR-07220KL","LCSC C25811"
"R3","1","1.8k","","Resistor_SMD:R_0805_2012Metric","Yageo RC0805FR-071K8L","LCSC C22807"
"SW1","1","SW_SPDT","","Button_Switch_THT:SW_Slide_SPDT_Angled_CK_OS102011MA1Q","CK OS102011MA1Q","Mouser 611-OS102011MA1Q"
"SW2","1","SW_Push","","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","Alps SKRKACE010","Mouser 688-SKRKACE010"
"U1","1","XIAO-ESP32-C6","Excluded from BOM","XIAO-ESP32-C6","Seeed 113991114","Seeed / Digi-Key"
"U2","1","GY-BNO085","Excluded from BOM","GY-BNO085","GY-BNO085","Amazon / AliExpress"
